"antioquia police chief colonel waldemar franklin quintero","http://dbpedia.org/resource/Waldemar_Franklin_Quintero"
"antioquia police department chief waldemar franklin quintero","http://dbpedia.org/resource/Waldemar_Franklin_Quintero"
"archbishop arturo rivera y damas","http://dbpedia.org/resource/Arturo_Rivera_y_Damas"
"archbishop oscar arnulfo romero","http://dbpedia.org/resource/Óscar_Romero"
"argentina's president carlos menem","http://dbpedia.org/resource/Carlos_Menem"
"argentine president carlos menem","http://dbpedia.org/resource/Carlos_Menem"
"auxiliary bishop gregorio rosa chavez","http://dbpedia.org/resource/Gregorio_Rosa_Chávez"
"bishop gregorio rosa chavez","http://dbpedia.org/resource/Gregorio_Rosa_Chávez"
"bolivian president jaime paz zamora","http://dbpedia.org/resource/Jaime_Paz_Zamora"
"candidate senator luis carlos galan","http://dbpedia.org/resource/Luis_Carlos_Galán"
"central america university rector ignacio ellacuria","http://dbpedia.org/resource/Ignacio_Ellacuría"
"central american university rector ignacio ellacuria","http://dbpedia.org/resource/Ignacio_Ellacuría"
"chilean president augusto pinochet","http://dbpedia.org/resource/Augusto_Pinochet"
"chilean president patricio aylwin","http://dbpedia.org/resource/Patricio_Aylwin"
"chilean president-elect patricio","http://dbpedia.org/resource/Patricio_Aylwin"
"christian democrat jose napoleon duarte","http://dbpedia.org/resource/José_Napoleón_Duarte"
"christian democratic president jose napoleon duarte","http://dbpedia.org/resource/José_Napoleón_Duarte"
"christian democratic president vinicio cerezo","http://dbpedia.org/resource/Vinicio_Cerezo"
"col rene emilio ponce","http://dbpedia.org/resource/René_Emilio_Ponce"
"col. rene emilio ponce","http://dbpedia.org/resource/René_Emilio_Ponce"
"colombia's president virgilio barco","http://dbpedia.org/resource/Virgilio_Barco_Vargas"
"colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""","http://dbpedia.org/resource/José_Gonzalo_Rodríguez_Gacha"
"colombian justice minister monica de greiff","http://dbpedia.org/resource/Mónica_de_Greiff"
"colombian leader virgilio barco","http://dbpedia.org/resource/Virgilio_Barco_Vargas"
"colombian liberal party candidate luis carlos galan","http://dbpedia.org/resource/Luis_Carlos_Galán"
"colombian political leader luis carlos galan","http://dbpedia.org/resource/Luis_Carlos_Galán"
"colombian president virgilio barco","http://dbpedia.org/resource/Virgilio_Barco_Vargas"
